City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
0,Tura,IN,25.5198,90.2201,71.67,99,93,3.36,2021-10-21 00:41:26
1,Komsomolskiy,UZ,40.4272,71.7189,58.42,47,31,9.22,2021-10-21 00:43:51
2,Rikitea,PF,-23.1203,-134.9692,74.77,67,41,20.38,2021-10-21 00:46:10
3,Kalat,PK,29.0225,66.5916,54.77,22,0,1.3,2021-10-21 00:44:23
4,Nata,PA,8.3333,-80.5167,76.42,89,53,1.86,2021-10-21 00:46:11
5,Bluff,NZ,-46.6,168.3333,49.59,59,10,9.89,2021-10-21 00:46:11
6,Punta Arenas,CL,-53.15,-70.9167,44.71,61,20,11.5,2021-10-21 00:41:18
7,Busselton,AU,-33.65,115.3333,61.05,64,93,15.97,2021-10-21 00:46:12
8,Mataura,NZ,-46.1927,168.8643,57.96,40,1,2.3,2021-10-21 00:46:12
9,Kapaa,US,22.0752,-159.319,84.18,64,1,1.99,2021-10-21 00:46:13
10,Tuktoyaktuk,CA,69.4541,-133.0374,24.8,93,40,5.75,2021-10-21 00:41:15
11,Dikson,RU,73.5069,80.5464,27.66,57,100,10.38,2021-10-21 00:41:39
12,Morondava,MG,-20.2833,44.2833,72.55,85,5,10.85,2021-10-21 00:44:19
13,Ushuaia,AR,-54.8,-68.3,47.86,40,20,13.8,2021-10-21 00:42:23
14,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,69,1,1.74,2021-10-21 00:46:14
15,Cidreira,BR,-30.1811,-50.2056,63.18,70,78,16.62,2021-10-21 00:43:38
16,Georgetown,MY,5.4112,100.3354,78.73,89,20,5.01,2021-10-21 00:46:14
17,Arman,RU,59.7,150.1667,16.61,33,15,4.56,2021-10-21 00:46:15
18,Port Alfred,ZA,-33.5906,26.891,62.67,83,87,12.44,2021-10-21 00:46:15
19,Qarqin,AF,37.4185,66.0436,65.64,40,100,12.93,2021-10-21 00:46:16
20,Ilulissat,GL,69.2167,-51.1,26.62,63,20,2.3,2021-10-21 00:45:42
21,Constitucion,CL,-35.3333,-72.4167,50.9,89,81,4.03,2021-10-21 00:46:16
22,Port Elizabeth,ZA,-33.918,25.5701,59.29,100,0,4.61,2021-10-21 00:46:17
23,Estevan,CA,49.1334,-102.9842,32.34,69,1,6.91,2021-10-21 00:45:07
24,Butaritari,KI,3.0707,172.7902,81.36,76,9,12.55,2021-10-21 00:46:17
25,Meulaboh,ID,4.1363,96.1285,75.54,88,100,4.83,2021-10-21 00:46:18
26,Antsohihy,MG,-14.8796,47.9875,72.84,75,19,2.53,2021-10-21 00:46:18
27,Harper,LR,4.375,-7.7169,76.78,89,37,6.35,2021-10-21 00:46:19
28,Bethel,US,41.3712,-73.414,67.05,75,40,4.61,2021-10-21 00:43:10
29,Norman Wells,CA,65.282,-126.8329,35.64,69,40,4.61,2021-10-21 00:46:19
30,Vaini,TO,-21.2,-175.2,74.14,67,95,21.09,2021-10-21 00:46:20
31,Ribeira Grande,PT,38.5167,-28.7,70.27,64,81,4.47,2021-10-21 00:46:20
32,Tucuma,BR,-0.1833,-50.05,79.3,80,5,7.81,2021-10-21 00:46:21
33,Lebu,CL,-37.6167,-73.65,52.54,87,100,5.53,2021-10-21 00:46:00
34,Katangli,RU,51.7102,143.2326,33.71,69,12,10.02,2021-10-21 00:46:21
35,Zhigansk,RU,66.7697,123.3711,22.28,93,100,12.03,2021-10-21 00:46:22
36,Mabama,TZ,-5.1333,32.5333,70.93,52,100,8.52,2021-10-21 00:46:22
37,Avarua,CK,-21.2078,-159.775,77.05,65,75,6.91,2021-10-21 00:46:23
38,Kamenka,RU,51.3223,42.7678,37.81,56,100,14.0,2021-10-21 00:46:23
39,Capitao Poco,BR,-1.7464,-47.0594,74.32,91,11,4.88,2021-10-21 00:46:23
40,Geraldton,AU,-28.7667,114.6,68.41,64,68,16.11,2021-10-21 00:46:24
41,Mar Del Plata,AR,-38.0023,-57.5575,61.09,46,0,3.0,2021-10-21 00:41:40
42,East London,ZA,-33.0153,27.9116,62.38,80,99,12.06,2021-10-21 00:44:23
43,Xichang,CN,27.8964,102.2634,51.67,87,100,3.76,2021-10-21 00:46:25
44,Cape Town,ZA,-33.9258,18.4232,62.11,72,0,3.0,2021-10-21 00:42:44
45,Broken Hill,AU,-31.95,141.4333,78.51,15,87,11.5,2021-10-21 00:46:25
46,Kilemary,RU,56.7783,46.8659,33.42,71,100,12.24,2021-10-21 00:46:26
47,Cabo San Lucas,MX,22.8909,-109.9124,83.61,75,10,6.93,2021-10-21 00:41:38
48,Longyearbyen,SJ,78.2186,15.6401,15.64,67,0,2.3,2021-10-21 00:46:26
49,Clarence Town,AU,-32.5833,151.7833,73.06,62,83,6.91,2021-10-21 00:46:27
50,Qandala,SO,11.472,49.8728,78.76,46,41,1.16,2021-10-21 00:46:27
51,Le Port,RE,-20.9373,55.2919,73.36,86,1,7.38,2021-10-21 00:41:34
52,Koumac,NC,-20.5667,164.2833,67.89,91,100,2.46,2021-10-21 00:46:28
53,Jamestown,US,42.097,-79.2353,60.33,67,90,6.91,2021-10-21 00:45:33
54,Odda,NO,60.0691,6.5457,45.77,100,100,6.62,2021-10-21 00:46:28
55,Avinurme,EE,58.9822,26.8642,53.62,91,100,12.66,2021-10-21 00:46:29
56,Ribeira Brava,PT,32.65,-17.0667,74.03,80,99,7.83,2021-10-21 00:46:29
57,Bintulu,MY,3.1667,113.0333,77.41,94,20,5.99,2021-10-21 00:46:29
58,Sambava,MG,-14.2667,50.1667,68.47,88,11,6.42,2021-10-21 00:44:26
59,Katobu,ID,-4.9408,122.5276,88.18,56,100,1.95,2021-10-21 00:46:30
60,Kaniama,CD,-7.5667,24.1833,65.73,96,100,2.21,2021-10-21 00:46:31
61,Fukue,JP,32.6881,128.8419,55.76,100,90,1.14,2021-10-21 00:46:31
62,Hithadhoo,MV,-0.6,73.0833,81.61,74,100,9.48,2021-10-21 00:46:33
63,Roald,NO,62.5833,6.1333,45.16,87,75,10.36,2021-10-21 00:46:34
64,Hilo,US,19.7297,-155.09,80.33,67,1,10.36,2021-10-21 00:44:21
65,Hermanus,ZA,-34.4187,19.2345,61.9,81,70,4.43,2021-10-21 00:46:35
66,Balkanabat,TM,39.5108,54.3671,52.88,50,11,10.27,2021-10-21 00:46:35
67,Bahia Blanca,AR,-38.7196,-62.2724,69.44,43,0,13.67,2021-10-21 00:43:46
68,Saint George,US,37.1041,-113.5841,70.39,26,1,3.0,2021-10-21 00:46:37
